Entity,Code,Date,"Excess_mortality_P-scores,_ages_15-64","Excess_mortality_P-scores,_ages_65-74","Excess_mortality_P-scores,_ages_75-84","Excess_mortality_P-scores,_ages_85+"
Austria,AUT,1/5/2020,-5.42,-23.21,-5.3,-11.17
Austria,AUT,1/12/2020,-1.45,-5.43,-5.3,-13.4
Austria,AUT,1/19/2020,-7.32,-1.09,9.77,-2.91
Austria,AUT,1/26/2020,14.2,-5.11,10.18,-5.01
Austria,AUT,2/2/2020,-5.91,-0.22,19.98,5.79
Austria,AUT,2/9/2020,-16.28,-9.78,-0.24,-11.12
Austria,AUT,2/16/2020,-4.52,-13.27,-5.86,-1.03
Austria,AUT,2/23/2020,-6.12,-2.4,-2.31,-8.76
Austria,AUT,3/1/2020,-2.48,-9.93,6.6,-6.26
Austria,AUT,3/8/2020,6.27,-0.76,2.22,-4.07
Austria,AUT,3/15/2020,5.4,-3.98,2.8,-1.56
Austria,AUT,3/22/2020,11.83,4.28,27.5,11.95
Austria,AUT,3/29/2020,6.07,-9.3,19.52,6.12
Austria,AUT,4/5/2020,12.8,1.28,24.06,15.87
Austria,AUT,4/12/2020,14.38,4.58,21.43,18.05
Austria,AUT,4/19/2020,3.67,3.78,18.82,13.57
Austria,AUT,4/26/2020,7.78,2.1,17.5,4.01
Austria,AUT,5/3/2020,8.21,-15.32,3.49,3.98
Austria,AUT,5/10/2020,5.43,2.06,8.47,5.99
Austria,AUT,5/17/2020,-5.35,3.91,6.72,-0.14
Austria,AUT,5/24/2020,-6.86,3.49,16.11,1.08
Austria,AUT,5/31/2020,13.83,-5.85,-5.35,1.69
Austria,AUT,6/7/2020,11.69,-2.46,6.55,5.7
Austria,AUT,6/14/2020,-0.27,-0.69,2.65,2.22
Austria,AUT,6/21/2020,-6.08,-8.47,-1.71,8.84
Austria,AUT,6/28/2020,-6.57,-1.41,0.51,9.83
Austria,AUT,7/5/2020,1.21,12.68,8.7,10.29
Austria,AUT,7/12/2020,-1.09,-1.17,2.73,-1.09
Austria,AUT,7/19/2020,-10.12,10.27,8.05,-9.27
Austria,AUT,7/26/2020,2.05,-4.76,3.14,-6.67
Austria,AUT,8/2/2020,0.26,-1.62,9.69,-2.67
Austria,AUT,8/9/2020,-0.54,-7.18,9.18,-2.44
Austria,AUT,8/16/2020,-2.61,8.26,17.1,10.23
Austria,AUT,8/23/2020,-8.64,-0.18,14.1,0.77
Austria,AUT,8/30/2020,-4.27,-7.34,17.53,5.5
Austria,AUT,9/6/2020,3.57,4.76,23.08,7.31
Austria,AUT,9/13/2020,19.25,-1.47,13.01,8.96
Austria,AUT,9/20/2020,2.16,11.85,11.8,12.04
Austria,AUT,9/27/2020,-1.01,-1.67,3.47,8.87
Austria,AUT,10/4/2020,-3.71,16.72,5.63,3
Austria,AUT,10/11/2020,10.47,3.95,16.4,0.91
Austria,AUT,10/18/2020,0.76,12.27,11.45,3.42
Austria,AUT,10/25/2020,2.85,6.41,27.86,19.21
Austria,AUT,11/1/2020,11.59,35.07,26.78,23.47
Austria,AUT,11/8/2020,13.66,40.13,39.21,32.83
Austria,AUT,11/15/2020,-7.19,62.06,58.03,53.38
Belgium,BEL,1/5/2020,-7,-0.73,-13,-4.87
Belgium,BEL,1/12/2020,-3.33,4.85,-11.9,2.09
Belgium,BEL,1/19/2020,-13.81,8.19,-12.63,-1.63
Belgium,BEL,1/26/2020,-12.82,3.47,-15.34,-8.82
Belgium,BEL,2/2/2020,-0.87,2.46,-8.31,-8.55
Belgium,BEL,2/9/2020,-6.06,-3.82,-14.89,-16.99
Belgium,BEL,2/16/2020,-5.06,2.97,-12.21,-10.98
Belgium,BEL,2/23/2020,-4.49,5.56,-14.68,-8.46
Belgium,BEL,3/1/2020,-23.81,-2.1,-10.22,-11.92
Belgium,BEL,3/8/2020,-8,-4.74,-16.49,-7.14
Belgium,BEL,3/15/2020,2.78,0,-7.71,-7.25
Belgium,BEL,3/22/2020,-3.7,27.26,7.87,10.47
Belgium,BEL,3/29/2020,5.2,47.26,46.1,53.15
Belgium,BEL,4/5/2020,23.9,78.48,89.99,119.09
Belgium,BEL,4/12/2020,25.53,62.2,119.1,142.97
Belgium,BEL,4/19/2020,7.7,62.54,70.23,123.66
Belgium,BEL,4/26/2020,6.2,32.33,42.33,78.02
Belgium,BEL,5/3/2020,-7.85,13.97,15.77,36.62
Belgium,BEL,5/10/2020,-7.65,13.14,12.46,33.67
Belgium,BEL,5/17/2020,-2.16,5.3,-0.55,7.25
Belgium,BEL,5/24/2020,-6.89,3.03,-4.32,18.51
Belgium,BEL,5/31/2020,4.42,0.52,-16.87,17.78
Belgium,BEL,6/7/2020,-14.82,2.62,-11.22,2.33
Belgium,BEL,6/14/2020,-1.85,3.7,-3.39,7.25
Belgium,BEL,6/21/2020,-15.12,-5.24,-10.74,2.23
Belgium,BEL,6/28/2020,-7.69,16.7,-2.33,7.27
Belgium,BEL,7/5/2020,-11.62,-8.27,-21.9,-7.68
Belgium,BEL,7/12/2020,-10.43,-4.03,-13.79,-8.42
Belgium,BEL,7/19/2020,-6.88,-0.7,-6.67,0.16
Belgium,BEL,7/26/2020,-13.69,-3.62,-15.58,-5.93
Belgium,BEL,8/2/2020,-5.6,6.39,2.69,6.12
Belgium,BEL,8/9/2020,-9.06,13.47,9.49,13.42
Belgium,BEL,8/16/2020,23.08,47.92,44.29,78.93
Belgium,BEL,8/23/2020,5.38,19.77,4.67,26.14
Belgium,BEL,8/30/2020,-11.61,0.06,-1.39,1.03
Belgium,BEL,9/6/2020,4.81,4.79,-5.16,4.72
Belgium,BEL,9/13/2020,-1.09,5.45,-9.56,-2.54
Belgium,BEL,9/20/2020,-4.52,13.94,-5.95,15.18
Belgium,BEL,9/27/2020,-0.8,1.28,-7.13,4.06
Belgium,BEL,10/4/2020,-15.59,3.71,0.35,-3.42
Belgium,BEL,10/11/2020,-6.51,15.46,-0.3,-0.05
Belgium,BEL,10/18/2020,6.95,13.89,7.87,4.2
Belgium,BEL,10/25/2020,10.78,16.97,31.19,43.52
Belgium,BEL,11/1/2020,19.99,58.83,78.3,70.7
Belgium,BEL,11/8/2020,16.04,75.74,78.58,95.14
Bulgaria,BGR,1/5/2020,-22.02,-14.9,-20.54,-15.85
Bulgaria,BGR,1/12/2020,-11.42,-3.57,-17.68,-11.88
Bulgaria,BGR,1/19/2020,-16.57,-7.76,-21.2,-6.05
Bulgaria,BGR,1/26/2020,-6.23,1.48,-16.5,6.58
Bulgaria,BGR,2/2/2020,-9.3,1.06,-2.91,6.37
Bulgaria,BGR,2/9/2020,2.29,6.26,-9.31,9.3
Bulgaria,BGR,2/16/2020,7.33,0.12,-1.43,-2.25
Bulgaria,BGR,2/23/2020,-2.62,-0.15,-12.1,-4.73
Bulgaria,BGR,3/1/2020,-9.09,3.2,-11.76,2.55
Bulgaria,BGR,3/8/2020,-14.86,1.04,-14.23,-8.75
Bulgaria,BGR,3/15/2020,-3.98,-0.93,-14.42,-1.22
Bulgaria,BGR,3/22/2020,-8.57,-1.26,-12.63,1.22
Bulgaria,BGR,3/29/2020,-9.73,2.54,-5.77,1.76
Bulgaria,BGR,4/5/2020,3.78,0,-11.74,-4.84
Bulgaria,BGR,4/12/2020,1.5,9.11,-10.45,-4.54
Bulgaria,BGR,4/19/2020,7.83,-3.97,-7.23,-1.92
Bulgaria,BGR,4/26/2020,1.01,0,-13.22,0.4
Bulgaria,BGR,5/3/2020,-3.89,2.46,-17.61,-0.12
Bulgaria,BGR,5/10/2020,-7.15,4.91,-11.73,-6.25
Bulgaria,BGR,5/17/2020,-2.15,12.4,4.27,8.45
Bulgaria,BGR,5/24/2020,-7.79,0.54,-7.33,-0.97
Bulgaria,BGR,5/31/2020,-8.91,12.38,-10.87,-21.54
Bulgaria,BGR,6/7/2020,-9.54,-0.18,0.7,4.89
Bulgaria,BGR,6/14/2020,2.71,4.67,-3.82,0.21
Bulgaria,BGR,6/21/2020,3.42,5.57,-10.48,-2.52
Bulgaria,BGR,6/28/2020,-0.93,8.18,-13.31,-1.21
Bulgaria,BGR,7/5/2020,10.92,13.64,5.37,23.83
Bulgaria,BGR,7/12/2020,1.54,5.13,10.19,4.16
Bulgaria,BGR,7/19/2020,-0.52,12.55,-8.39,-6.82
Bulgaria,BGR,7/26/2020,-4.64,7.72,-4.13,3.46
Bulgaria,BGR,8/2/2020,1.07,13.28,2.47,22.73
Bulgaria,BGR,8/9/2020,-8.01,19.81,3.11,13.17
Bulgaria,BGR,8/16/2020,9.54,10.01,2.88,4.01
Bulgaria,BGR,8/23/2020,-3.9,12.34,1.01,6.84
Bulgaria,BGR,8/30/2020,9.25,10.38,-4.29,12.58
Bulgaria,BGR,9/6/2020,12.67,11.93,-3.67,13.07
Bulgaria,BGR,9/13/2020,1.58,8.44,-1.66,14.83
Bulgaria,BGR,9/20/2020,-1.74,15.17,-2.54,-2.63
Bulgaria,BGR,9/27/2020,-1.37,7.71,5.58,-4.73
Bulgaria,BGR,10/4/2020,2.45,13.95,-10.27,7.44
Bulgaria,BGR,10/11/2020,3.33,11.8,-0.51,5.4
Bulgaria,BGR,10/18/2020,1.52,9.28,2.82,2.43
Bulgaria,BGR,10/25/2020,12.18,27.5,5.98,16.28
Bulgaria,BGR,11/1/2020,33.32,31.01,29.62,26.6
Bulgaria,BGR,11/8/2020,62.33,77.45,45.6,31.48
Bulgaria,BGR,11/15/2020,78.15,112.47,73.48,71.08
Canada,CAN,1/5/2020,-6.77,6.71,3.89,0.9
Canada,CAN,1/12/2020,2.09,3.88,1.41,-1.25
Canada,CAN,1/19/2020,3.58,0.43,-1.9,0.59
Canada,CAN,1/26/2020,0.1,6.19,3.75,2.63
