Entity,Code,Date,"Deaths, 2020, all ages",Average_deaths_from_2015_to_2019_all_ages,deaths_2015_all_ages,deaths_2016_all_ages,deaths_2017_all_ages,deaths_2018_all_ages,deaths_2019_all_ages
Austria,AUT,1/5/2020,1611,1809,1704,1634,2293,1767,1647
Austria,AUT,1/12/2020,1702,1857,1768,1626,2340,1842,1709
Austria,AUT,1/19/2020,1797,1786.4,1837,1608,2060,1786,1641
Austria,AUT,1/26/2020,1779,1747,1792,1578,1938,1714,1713
Austria,AUT,2/2/2020,1947,1818.6,1837,1609,2045,1870,1732
Austria,AUT,2/9/2020,1680,1836.8,1926,1650,1874,1938,1796
Austria,AUT,2/16/2020,1721,1812.8,1992,1621,1750,1881,1820
Austria,AUT,2/23/2020,1718,1822,2020,1581,1807,1951,1751
Austria,AUT,3/1/2020,1768,1815.6,1883,1714,1696,2021,1764
Austria,AUT,3/8/2020,1744,1753.6,1846,1532,1614,1965,1811
Austria,AUT,3/15/2020,1718,1711.4,1763,1516,1542,1946,1790
Austria,AUT,3/22/2020,1836,1598,1696,1499,1535,1641,1619
Austria,AUT,3/29/2020,1765,1645.8,1725,1598,1489,1766,1651
Austria,AUT,4/5/2020,1828,1585.4,1604,1562,1537,1617,1607
Austria,AUT,4/12/2020,1793,1546.2,1563,1520,1532,1560,1556
Austria,AUT,4/19/2020,1704,1523.4,1614,1413,1475,1557,1558
Austria,AUT,4/26/2020,1588,1470.2,1547,1460,1440,1383,1521
Austria,AUT,5/3/2020,1480,1464.6,1453,1447,1527,1434,1462
Austria,AUT,5/10/2020,1520,1439.4,1452,1486,1434,1372,1453
Austria,AUT,5/17/2020,1489,1463,1461,1453,1501,1342,1558
Austria,AUT,5/24/2020,1481,1421.6,1396,1505,1327,1383,1497
Austria,AUT,5/31/2020,1415,1414.4,1304,1402,1456,1415,1495
Austria,AUT,6/7/2020,1490,1412.4,1437,1360,1312,1433,1520
Austria,AUT,6/14/2020,1461,1443.4,1502,1348,1421,1392,1554
Austria,AUT,6/21/2020,1413,1407.6,1285,1452,1476,1401,1424
Austria,AUT,6/28/2020,1437,1399.8,1374,1338,1419,1414,1454
Austria,AUT,7/5/2020,1561,1435.2,1487,1328,1413,1441,1507
Austria,AUT,7/12/2020,1383,1377.4,1476,1323,1346,1404,1338
Austria,AUT,7/19/2020,1443,1469.8,1475,1458,1475,1511,1430
Austria,AUT,7/26/2020,1452,1488.8,1633,1424,1375,1455,1557
Austria,AUT,8/2/2020,1526,1504.8,1446,1390,1616,1615,1457
Austria,AUT,8/9/2020,1433,1426.2,1500,1359,1334,1532,1406
Austria,AUT,8/16/2020,1607,1460.6,1692,1394,1380,1430,1407
Austria,AUT,8/23/2020,1477,1433.8,1376,1408,1472,1460,1453
Austria,AUT,8/30/2020,1497,1426.8,1476,1414,1329,1414,1501
Austria,AUT,9/6/2020,1522,1377.2,1389,1380,1318,1376,1423
Austria,AUT,9/13/2020,1567,1424.8,1447,1392,1426,1452,1407
Austria,AUT,9/20/2020,1568,1423,1459,1376,1407,1421,1452
Austria,AUT,9/27/2020,1532,1471.6,1410,1442,1496,1436,1574
Austria,AUT,10/4/2020,1581,1510.4,1494,1469,1481,1553,1555
Austria,AUT,10/11/2020,1623,1519,1409,1556,1529,1509,1592
Austria,AUT,10/18/2020,1607,1505.2,1481,1607,1453,1488,1497
Austria,AUT,10/25/2020,1766,1509,1498,1522,1489,1491,1545
Austria,AUT,11/1/2020,1885,1513,1433,1484,1551,1561,1536
Austria,AUT,11/8/2020,2006,1509.4,1460,1541,1490,1501,1555
Austria,AUT,11/15/2020,2286,1552.4,1527,1616,1505,1556,1558
Austria,AUT,11/22/2020,,1538,1486,1550,1570,1531,1553
Austria,AUT,11/29/2020,,1546.2,1488,1601,1531,1525,1586
Austria,AUT,12/6/2020,,1603,1509,1619,1632,1656,1599
Austria,AUT,12/13/2020,,1606.8,1517,1670,1554,1626,1667
Austria,AUT,12/20/2020,,1653.6,1538,1847,1653,1639,1591
Austria,AUT,12/27/2020,,1735.2,1545,2160,1646,1689,1636
Belgium,BEL,1/5/2020,2226,2390.4,2461,2244,2557,2382,2308
Belgium,BEL,1/12/2020,2381,2431.6,2525,2234,2735,2317,2347
Belgium,BEL,1/19/2020,2306,2422.8,2526,2295,2645,2336,2312
Belgium,BEL,1/26/2020,2197,2422.4,2510,2263,2691,2253,2395
Belgium,BEL,2/2/2020,2355,2510,2644,2180,2950,2355,2421
Belgium,BEL,2/9/2020,2162,2488.4,2727,2127,2691,2353,2544
Belgium,BEL,2/16/2020,2302,2523.6,2892,2121,2631,2565,2409
